Protein.Group,Protein.Names,Genes,First.Protein.Description,PD2_F1,PD2_F2,PD3_F1,PD3_F2,PD5_F1,PD5_F2,PD13_F1,PD13_F2,PD14_F1,PD14_F2,PD1_F1,PD1_F2,PD7_F1,PD7_F2,PD9_F1,PD9_F2,PD10_F1,PD10_F2,PD12_F1,PD12_F2,CON4_F1,CON4_F2,CON5_F1,CON5_F2,CON6_F1,CON6_F2,CON7_F1,CON7_F2,CON8_F1,CON8_F2,CON10_F1,CON10_F2,CON12_F1,CON12_F2,CON13_F1,CON13_F2,CON14_F1,CON14_F2,CON15_F1,CON15_F2
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,32180400,29098900,36394000,30633200,28424300,24894600,34470000,35718400,34293300,21842900,30333700,22832400,39381400,32144400,39092800,25298600,31697500,25454800,34631900,32007100,37763100,27704200,59140000,37655200,26757500,27451100,21575000,20401700,25435700,21430200,58247100,38740900,29493100,34624700,37451600,46590000,25582700,34103900,16225900,12885500
A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,792662,NA,1771500,1547580,NA,NA,NA,NA,1711840,891667,469906,NA,1204620,NA,NA,676740,NA,NA,NA,NA,1196500,509452,NA,NA,NA,NA,4356260,NA,NA,NA,NA,NA,NA,777215,1488960,NA,NA,NA,1065460,190141
A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,716281,NA,2447060,NA,1329040,559192,NA,NA,NA,NA,826032,746827,1242590,NA,1450780,780967,3022980,1674470,1138810,689382,2404450,1286930,371566,NA,NA,NA,2563300,NA,NA,NA,3950200,2411350,1167200,689142,3584340,2278950,236195,NA,879505,561417
A0A075B6I9,LV746_HUMAN,IGLV7-46,Immunoglobulin lambda variable 7-46,NA,NA,6062690,3821120,NA,NA,NA,NA,2223900,1596310,3824790,NA,5207960,NA,2887460,NA,3485060,2289080,NA,NA,4765350,2554000,NA,NA,NA,NA,6468020,NA,3550160,NA,4197980,3425570,1865620,NA,8298020,4136440,3011100,NA,3007760,NA
A0A075B6K4,LV310_HUMAN,IGLV3-10,Immunoglobulin lambda variable 3-10,NA,NA,2799710,NA,816282,NA,1407940,4073360,NA,NA,1444790,819605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2284510,NA,NA,NA,3672970,1342360,NA,NA,2055110,2152020,2652670,848156,NA,NA
A0A075B6K5,LV39_HUMAN,IGLV3-9,Immunoglobulin lambda variable 3-9,6670740,5738860,20733600,15549900,7671330,2733930,7210660,4672610,14944900,7941360,12655800,5667250,6789920,4501600,9231930,4748160,9488230,5472980,7492680,3258320,7792740,4333850,3086320,1953900,1736840,578790,12432400,521811,9426420,NA,13313300,12714000,7724410,7265810,14980800,8474880,15461200,12724400,2842600,1335970
A0A075B6P5;P01615,KV228_HUMAN;KVD28_HUMAN,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28,1620510,NA,5518300,3243940,1332310,NA,855824,NA,3439620,1451800,2580650,1542950,4081500,1745780,4308160,1885790,6698190,3173770,1707830,1332330,3810180,1388440,1045900,NA,NA,NA,4564380,NA,3140550,NA,NA,1532190,1978720,NA,7795510,3757140,2532180,1319920,2026850,944330
A0A075B6R2,HV404_HUMAN,IGHV4-4,Immunoglobulin heavy variable 4-4,509949,NA,3740820,NA,1650780,NA,846155,740323,2490240,NA,1444320,NA,1773300,NA,2251220,1222160,1694570,680457,697858,1201430,2072540,NA,NA,NA,NA,NA,1579870,NA,597046,NA,2007940,2392230,NA,NA,2978280,NA,3081830,NA,896929,NA
A0A075B6R9;A0A0C4DH68,KV224_HUMAN;KVD24_HUMAN,IGKV2-24;IGKV2D-24,Probable non-functional immunoglobulin kappa variable 2D-24,2236100,NA,4207630,3728490,1937200,NA,1229560,NA,NA,NA,2667160,NA,1894120,NA,2920060,2408900,1715090,NA,NA,NA,2417940,1595900,NA,NA,NA,NA,2205220,1544390,2020300,NA,5143380,2000440,NA,1412130,4452840,3102140,3354950,2580610,2726240,2003130
A0A075B6S2,KVD29_HUMAN,IGKV2D-29,Immunoglobulin kappa variable 2D-29,25620900,14500500,64361000,42230200,31970800,16821200,15571600,11314800,31794900,15350200,32222200,15290400,47344400,31598200,44036700,28571500,49057500,30284300,19421900,13771800,32045000,17639000,7613060,5543800,2160120,NA,54511600,7268500,21735500,9169550,58803900,21188000,19522000,18289400,35288400,43137700,37394200,27647300,30457000,19941700
A0A075B6S5,KV127_HUMAN,IGKV1-27,Immunoglobulin kappa variable 1-27,327704,318862,1772940,790245,707889,397730,369035,209441,1090560,455673,903985,307801,1082910,703073,940742,770071,1282000,776348,411569,NA,1136180,609050,227419,137962,NA,NA,1191920,206573,436292,NA,NA,591819,438081,438268,2280910,898251,1365440,910770,752536,414910
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,366409,202821,903960,766554,1128480,456427,389858,357482,1678410,569646,683758,477034,462752,228603,639580,210205,936234,715238,343850,NA,447930,NA,NA,NA,NA,NA,908434,NA,475774,NA,789774,915405,367986,324271,1113860,408531,408558,376592,387104,281827
A0A087WW87;P01614,KV240_HUMAN;KVD40_HUMAN,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121596,NA,81458.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60131.1,NA,NA,NA,NA,NA
A0A0A0MRZ8;P04433,KV311_HUMAN;KVD11_HUMAN,IGKV3-11;IGKV3D-11,Immunoglobulin kappa variable 3D-11,8549910,5731480,18452900,13412300,9050410,5918660,5354900,4532450,20371100,9856360,8975540,6549930,13604500,11074100,14885800,13756400,28967000,16130800,7564400,5930860,13351100,8179150,5818150,3976790,1267820,1007500,36409300,1221620,10816100,NA,18149500,9845440,12355900,7354610,29613100,18031700,18252500,13479400,12076300,7772460
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,NA,NA,10367500,6553380,1722300,NA,636995,NA,2575500,1479260,NA,NA,1888160,1395650,2353130,927123,2185740,1174410,1428200,1119340,2546630,NA,NA,NA,NA,NA,3308180,NA,NA,NA,5035050,3507710,1698780,1288090,3011140,1194560,4798870,3606200,924393,348647
